metacell	cell_type	color	broad_cell_type	metacell_it2
1	lipophil_1	khaki2	lipophil	166
2	lipophil_1	khaki2	lipophil	156
3	lipophil_1	khaki2	lipophil	157
4	lipophil_1	khaki2	lipophil	165
5	lipophil_1	khaki2	lipophil	170
6	lipophil_1	khaki2	lipophil	167
7	lipophil_1	khaki2	lipophil	168
8	lipophil_1	khaki2	lipophil	161
9	lipophil_1	khaki2	lipophil	162
10	lipophil_1	khaki2	lipophil	159
11	lipophil_1	khaki2	lipophil	158
12	lipophil_1	khaki2	lipophil	160
13	lipophil_1	khaki2	lipophil	169
14	trans_lipophil_1_gland	gray75	trans	163
15	trans_lipophil_1_epithelia	gray80	trans	164
16	lipophil_2	khaki3	lipophil	239
17	lipophil_2	khaki3	lipophil	240
18	lipophil_2	khaki3	lipophil	241
19	lipophil_2	khaki3	lipophil	243
20	trans_lipophil_2_epithelia	gray40	trans	238
21	trans_lipophil_2_epithelia	gray40	trans	237
22	trans_lipophil_2_epithelia	gray40	trans	242
23	unknown_1	darkolivegreen2	unknown_1	205
24	unknown_1	darkolivegreen2	unknown_1	207
25	unknown_1	darkolivegreen2	unknown_1	206
26	fibre	chartreuse3	fibre	115
27	fibre	chartreuse3	fibre	114
28	fibre	chartreuse3	fibre	119
29	fibre	chartreuse3	fibre	118
30	fibre	chartreuse3	fibre	116
31	fibre	chartreuse3	fibre	117
32	fibre	chartreuse3	fibre	127
33	fibre	chartreuse3	fibre	112
34	fibre	chartreuse3	fibre	130
35	fibre	chartreuse3	fibre	128
36	fibre	chartreuse3	fibre	131
37	fibre	chartreuse3	fibre	132
38	fibre	chartreuse3	fibre	113
39	fibre	chartreuse3	fibre	122
40	fibre	chartreuse3	fibre	121
41	fibre	chartreuse3	fibre	123
42	fibre	chartreuse3	fibre	125
43	fibre	chartreuse3	fibre	120
44	fibre	chartreuse3	fibre	126
45	fibre	chartreuse3	fibre	124
46	trans_fibre_gland	gray55	trans	129
48	gland_1	darkorange3	gland	74
49	gland_1	darkorange3	gland	71
50	gland_1	darkorange3	gland	70
51	gland_1	darkorange3	gland	88
52	gland_1	darkorange3	gland	86
53	gland_1	darkorange3	gland	96
54	gland_1	darkorange3	gland	97
55	gland_1	darkorange3	gland	101
56	gland_1	darkorange3	gland	100
57	gland_1	darkorange3	gland	99
58	gland_1	darkorange3	gland	95
59	gland_1	darkorange3	gland	98
60	gland_1	darkorange3	gland	91
61	gland_1	darkorange3	gland	92
62	gland_1	darkorange3	gland	93
63	gland_1	darkorange3	gland	94
64	gland_1	darkorange3	gland	102
65	gland_1	darkorange3	gland	103
66	gland_1	darkorange3	gland	104
67	gland_1	darkorange3	gland	107
68	gland_1	darkorange3	gland	110
69	gland_1	darkorange3	gland	108
70	gland_1	darkorange3	gland	111
71	gland_1	darkorange3	gland	109
72	gland_1	darkorange3	gland	79
73	gland_1	darkorange3	gland	81
74	gland_1	darkorange3	gland	76
75	gland_1	darkorange3	gland	77
76	gland_1	darkorange3	gland	80
77	gland_1	darkorange3	gland	75
78	gland_1	darkorange3	gland	105
79	gland_1	darkorange3	gland	106
80	gland_1	darkorange3	gland	78
81	gland_1	darkorange3	gland	73
82	gland_1	darkorange3	gland	72
83	gland_1	darkorange3	gland	82
84	gland_1	darkorange3	gland	83
85	gland_1	darkorange3	gland	84
86	gland_1	darkorange3	gland	85
87	gland_1	darkorange3	gland	87
47	gland_1_like	darkorange3	gland	234
88	trans_gland_epithelia_ventral	gray65	trans	89
89	trans_gland_epithelia_dorsal	gray50	trans	90
90	epithelia_gland_like	orange	epithelia_gland_like	235
91	epithelia_gland_like	orange	epithelia_gland_like	236
92	epithelia_gland_like	orange	epithelia_gland_like	226
93	epithelia_gland_like	orange	epithelia_gland_like	229
94	epithelia_gland_like	orange	epithelia_gland_like	228
95	epithelia_gland_like	orange	epithelia_gland_like	225
96	epithelia_gland_like	orange	epithelia_gland_like	227
97	epithelia_gland_like	orange	epithelia_gland_like	220
98	epithelia_gland_like	orange	epithelia_gland_like	222
99	epithelia_gland_like	orange	epithelia_gland_like	223
100	epithelia_gland_like	orange	epithelia_gland_like	3
101	epithelia_gland_like	orange	epithelia_gland_like	224
102	epithelia_gland_like	orange	epithelia_gland_like	22
103	epithelia_gland_like	orange	epithelia_gland_like	23
104	epithelia_gland_like	orange	epithelia_gland_like	20
105	epithelia_gland_like	orange	epithelia_gland_like	17
106	epithelia_gland_like	orange	epithelia_gland_like	232
107	epithelia_gland_like	orange	epithelia_gland_like	233
108	epithelia_gland_like	orange	epithelia_gland_like	231
109	epithelia_ventral	orchid1	epithelia	25
110	epithelia_ventral	orchid1	epithelia	24
111	epithelia_ventral	orchid1	epithelia	19
112	epithelia_ventral	orchid1	epithelia	65
113	epithelia_ventral	orchid1	epithelia	21
114	epithelia_ventral	orchid1	epithelia	67
115	epithelia_ventral	orchid1	epithelia	66
116	epithelia_ventral	orchid1	epithelia	18
117	epithelia_ventral	orchid1	epithelia	16
118	epithelia_ventral	orchid1	epithelia	50
119	epithelia_ventral	orchid1	epithelia	49
120	epithelia_ventral	orchid1	epithelia	55
121	epithelia_ventral	orchid1	epithelia	230
122	epithelia_ventral	orchid1	epithelia	64
123	epithelia_ventral	orchid1	epithelia	56
124	epithelia_ventral	orchid1	epithelia	57
125	epithelia_ventral	orchid1	epithelia	51
126	epithelia_ventral	orchid1	epithelia	52
127	epithelia_ventral	orchid1	epithelia	54
128	epithelia_ventral	orchid1	epithelia	53
129	epithelia_ventral	orchid1	epithelia	62
130	epithelia_ventral	orchid1	epithelia	63
131	epithelia_ventral	orchid1	epithelia	68
132	epithelia_ventral	orchid1	epithelia	60
133	epithelia_ventral	orchid1	epithelia	58
134	epithelia_ventral	orchid1	epithelia	59
135	epithelia_ventral	orchid1	epithelia	41
136	epithelia_ventral	orchid1	epithelia	43
137	epithelia_ventral	orchid1	epithelia	39
138	epithelia_ventral	orchid1	epithelia	44
139	epithelia_ventral	orchid1	epithelia	40
140	epithelia_ventral	orchid1	epithelia	61
141	epithelia_ventral	orchid1	epithelia	38
142	epithelia_ventral	orchid1	epithelia	28
143	epithelia_ventral	orchid1	epithelia	29
144	epithelia_ventral	orchid1	epithelia	26
145	epithelia_ventral	orchid1	epithelia	27
146	epithelia_ventral	orchid1	epithelia	11
147	epithelia_ventral	orchid1	epithelia	221
148	epithelia_ventral	orchid1	epithelia	4
149	epithelia_ventral	orchid1	epithelia	1
150	epithelia_ventral	orchid1	epithelia	32
151	epithelia_ventral	orchid1	epithelia	31
152	epithelia_ventral	orchid1	epithelia	37
153	epithelia_ventral	orchid1	epithelia	46
154	epithelia_ventral	orchid1	epithelia	30
155	epithelia_ventral	orchid1	epithelia	69
156	epithelia_ventral	orchid1	epithelia	10
157	epithelia_ventral	orchid1	epithelia	9
158	epithelia_ventral	orchid1	epithelia	7
159	epithelia_ventral	orchid1	epithelia	8
160	epithelia_ventral	orchid1	epithelia	45
161	epithelia_ventral	orchid1	epithelia	14
162	epithelia_ventral	orchid1	epithelia	42
163	epithelia_ventral	orchid1	epithelia	47
164	epithelia_ventral	orchid1	epithelia	48
165	epithelia_ventral	orchid1	epithelia	33
166	epithelia_ventral	orchid1	epithelia	36
167	epithelia_ventral	orchid1	epithelia	6
168	epithelia_ventral	orchid1	epithelia	5
169	epithelia_ventral	orchid1	epithelia	12
170	epithelia_ventral	orchid1	epithelia	15
171	epithelia_ventral	orchid1	epithelia	13
172	epithelia_ventral	orchid1	epithelia	35
173	epithelia_ventral	orchid1	epithelia	2
174	epithelia_ventral	orchid1	epithelia	34
175	epithelia_unknown	plum3	epithelia	251
176	epithelia_unknown	plum3	epithelia	252
177	epithelia_unknown	plum3	epithelia	254
178	epithelia_unknown	plum3	epithelia	246
179	epithelia_unknown	plum3	epithelia	244
180	epithelia_unknown	plum3	epithelia	245
181	epithelia_unknown	plum3	epithelia	247
182	epithelia_unknown	plum3	epithelia	248
183	epithelia_unknown	plum3	epithelia	249
184	epithelia_unknown	plum3	epithelia	250
185	trans_epithelia_dorsal_ventral	gray95	trans	143
186	trans_epithelia_dorsal_ventral	gray95	trans	255
187	trans_epithelia_dorsal_ventral	gray95	trans	253
188	epithelia_dorsal	mediumorchid3	epithelia	138
189	epithelia_dorsal	mediumorchid3	epithelia	133
190	epithelia_dorsal	mediumorchid3	epithelia	140
191	epithelia_dorsal	mediumorchid3	epithelia	134
192	epithelia_dorsal	mediumorchid3	epithelia	139
193	epithelia_dorsal	mediumorchid3	epithelia	136
194	epithelia_dorsal	mediumorchid3	epithelia	135
195	epithelia_dorsal	mediumorchid3	epithelia	137
196	epithelia_dorsal	mediumorchid3	epithelia	141
197	epithelia_dorsal	mediumorchid3	epithelia	142
198	epithelia_dorsal	mediumorchid3	epithelia	147
199	epithelia_dorsal	mediumorchid3	epithelia	149
200	epithelia_dorsal	mediumorchid3	epithelia	150
201	epithelia_dorsal	mediumorchid3	epithelia	145
202	epithelia_dorsal	mediumorchid3	epithelia	146
203	epithelia_dorsal	mediumorchid3	epithelia	154
204	epithelia_dorsal	mediumorchid3	epithelia	153
205	epithelia_dorsal	mediumorchid3	epithelia	152
206	epithelia_dorsal	mediumorchid3	epithelia	148
207	epithelia_dorsal	mediumorchid3	epithelia	151
208	epithelia_dorsal	mediumorchid3	epithelia	155
209	epithelia_dorsal	mediumorchid3	epithelia	144
210	peptidergic_progenitors	blueviolet	peptidergic	214
211	peptidergic_progenitors	blueviolet	peptidergic	215
244	peptidergic_alpha	dodgerblue1	peptidergic	173
245	peptidergic_alpha	dodgerblue1	peptidergic	171
246	peptidergic_alpha	dodgerblue1	peptidergic	174
247	peptidergic_alpha	dodgerblue1	peptidergic	175
248	peptidergic_alpha	dodgerblue1	peptidergic	176
