module	mc_top	ct_top
bisque4	25	lipophil
black	143	epithelia
blue	43	fibre
brown	117	epithelia_gland_like
brown4	234	peptidergic
cyan	85	gland
darkgreen	133	epithelia
darkgrey	215	peptidergic
darkmagenta	232	peptidergic
darkolivegreen	113	epithelia_gland_like
darkorange	230	peptidergic
darkorange2	232	peptidergic
darkred	224	peptidergic
darkslateblue	135	epithelia
darkturquoise	201	epithelia
floralwhite	212	peptidergic
green	113	epithelia_gland_like
greenyellow	228	peptidergic
grey	113	epithelia_gland_like
grey60	102	gland
ivory	167	epithelia
lightcyan	151	epithelia
lightcyan1	214	peptidergic
lightgreen	208	peptidergic
lightsteelblue1	38	unknown_1
lightyellow	208	peptidergic
magenta	116	epithelia_gland_like
mediumpurple3	218	peptidergic
midnightblue	231	peptidergic
navajowhite2	163	epithelia
orange	213	peptidergic
orangered4	222	peptidergic
paleturquoise	220	peptidergic
palevioletred3	163	epithelia
pink	209	peptidergic
plum1	216	peptidergic
plum2	222	peptidergic
purple	234	peptidergic
red	227	peptidergic
royalblue	229	peptidergic
saddlebrown	161	epithelia
salmon	77	gland
salmon4	233	peptidergic
sienna3	72	gland
skyblue	221	peptidergic
skyblue3	48	fibre
steelblue	37	unknown_1
tan	26	lipophil
thistle1	218	peptidergic
thistle2	211	peptidergic
turquoise	11	lipophil
violet	159	epithelia
white	223	peptidergic
yellow	191	epithelia
yellowgreen	233	peptidergic
